name;frequency
Marie-Paule;2851
Nour;2839
Valentina;2839
Tina;2835
Bo;2822
Yana;2804
Karolien;2799
Liesbet;2797
Salma;2784
Natalia;2767
Hajar;2765
Kimberley;2760
Hannelore;2759
Irma;2755
Anissa;2753
Aicha;2743
Sophia;2724
Cecile;2693
Maïté;2689
Daniela;2666
Mona;2664
Raymonde;2663
Alina;2662
Lydie;2660
Latifa;2649
Noëlla;2648
Martina;2645
Rosalie;2633
Dorine;2627
Régine;2613
Julienne;2598
Merel;2579
Natalie;2561
Lauren;2559
Sharon;2548
Silvia;2546
Cecilia;2526
Sigrid;2518
Flore;2513
Tiffany;2513
Aïcha;2501
Hanane;2499
Amira;2491
Francesca;2480
Angelina;2472
Jamila;2472
Marjorie;2469
Vinciane;2465
Laurie;2452
José;2444
Regina;2440
Antoinette;2439
Beatrice;2439
Leonie;2434
Angèle;2426
Emeline;2421
Amy;2420
Ilona;2404
Assia;2400
Ayse;2397
Yousra;2392
Marcella;2385
Farah;2380
Kirsten;2371
Romy;2370
Bertha;2365
Anneleen;2363
Cristina;2340
Marta;2336
Maëlle;2335
Leila;2328
Suzanna;2328
Irena;2326
Amal;2324
Elif;2324
Maureen;2321
Thi;2306
Tanja;2297
Maryline;2293
Zahra;2293
Celine;2291
Eléonore;2291
Ida;2285
Antonia;2274
Inaya;2264
Marieke;2263
Annemie;2261
Tess;2257
Alessia;2251
Meryem;2241
Gina;2238
Chloë;2237
Léna;2234
Melanie;2234
Roos;2221
Christianne;2207
Godelieva;2205
Ophélie;2189
Paulien;2185
Linde;2179
Frédérique;2175
Stella;2175
Lana;2168
Liv;2167
Rosalia;2149
Alison;2141
Sien;2136
Soraya;2132
Naima;2118
Liliana;2110
Lilou;2110
Mina;2103
Irina;2101
Maaike;2083
Sylviane;2078
Cornelia;2074
Manuela;2071
Siham;2071
Miranda;2067
Alyssa;2061
Fiona;2048
Carolina;2041
Amelia;2037
Hanna;2036
Roxane;2031
Annita;2024
Teresa;2022
Cassandra;2021
Ludivine;2019
Gabriella;2017
Leslie;2016
Gerarda;2013
Aude;2010
Leona;2009
Giuseppina;1990
Zeynep;1969
Marie-Anne;1968
Fatoumata;1950
Marwa;1944
Zohra;1944
Isabella;1938
Amelie;1935
Emine;1928
Yolanda;1924
Agnieszka;1923
Josepha;1922
Marlies;1921
Hatice;1916
Sam;1915
Samantha;1914
Clémentine;1909
Danièle;1900
Katarzyna;1896
Nore;1896
Giovanna;1895
Elly;1894
Fran;1888
Léonie;1881
Yamina;1881
Ambre;1877
Helga;1861
Bouchra;1850
Ikram;1846
Daphné;1838
Najat;1834
Kristine;1825
Juliana;1811
Kenza;1808
Carmela;1805
Floor;1805
Malak;1805
Gwendoline;1801
Adèle;1796
Lize;1793
Halima;1787
Gloria;1786
Souad;1783
Beatrijs;1780
Kristina;1777
Lutgardis;1770
Norah;1769
Jeannette;1760
Natascha;1760
Anastasia;1759
Evelyn;1759
Mariana;1757
Mira;1747
Gitte;1744
Lucy;1744
France;1737
Gabriela;1733
Irene;1731
Ashley;1724
Rose-Marie;1724
Hafsa;1720
Livia;1716
Jasmine;1712
Selma;1711
Janine;1708
Miriam;1707
Katrijn;1703
Augusta;1685
Ingeborg;1685
Kiara;1685
Laila;1680
Shirley;1662
Lieselot;1653
Dounia;1652
Lindsey;1652
Hayat;1651
Asma;1649
Birgit;1646
Fernande;1645
Lia;1642
Leyla;1640
Samia;1625
Hafida;1618
Mary;1617
Adrienne;1614
Line;1612
Steffi;1610
Bieke;1607
Ellie;1601
Larissa;1589
Brigitta;1588
Laurette;1587
Krista;1585
Saida;1581
Odile;1580
Natasja;1578
Nadège;1574
Rani;1573
Priscilla;1568
Oona;1555
Tineke;1553
Paulina;1552
Debby;1551
Farida;1549
Soumaya;1549
Sabina;1548
Anneke;1547
Jessy;1546
Emmy;1544
Ivonne;1542
Clarisse;1541
Yara;1541
Margo;1533
Emilienne;1532
Marie-Josée;1531
Elina;1528
Katelijne;1525
Marie-Hélène;1520
Suzy;1509
Rosita;1507
Nell;1505
Marie-Ange;1488
Florine;1486
Lieze;1486
Rabia;1483
Lorena;1478
Coline;1477
Paola;1476
Jessie;1475
Loes;1470
Loubna;1470
Naïma;1461
Dorothée;1458
Simona;1457
Katja;1452
Iman;1449
Héloïse;1442
Loredana;1440
Nisrine;1434
Stien;1425
Elizabeth;1416
Angelique;1414
Tinne;1411
Corine;1408
Flora;1402
Maggy;1394
Theresia;1386
Giuseppa;1380
Lidia;1378
Mégane;1377
Andréa;1374
Habiba;1365
Sanae;1365
Carolien;1364
Ewa;1362
Alizée;1359
Maxine;1358
Daniella;1357
Freya;1354
Zita;1353
Frida;1350
Mariama;1350
Doris;1346
Mathilda;1338
Ilham;1336
Emy;1335
Billie;1334
Déborah;1334
Perrine;1334
Zineb;1334
Mihaela;1327
Debbie;1326
Heleen;1326
Violette;1322
Anaëlle;1321
Claudette;1319
Ornella;1309
Rahma;1308
June;1304
Reinhilde;1303
Amanda;1298
Safia;1298
Constance;1293
Eve;1292
Dana;1291
Belinda;1288
Daphne;1283
Ina;1271
Francisca;1268
Céleste;1260
Kyara;1259
Lutgart;1255
Lucette;1254
Veronica;1253
Amalia;1244
Claude;1242
Mandy;1237
Elvira;1234
Nicky;1234
Mara;1228
Marjan;1228
Kristin;1226
