name;frequency
Anneline;93
Armanda;93
Coco;93
Cosima;93
Dilber;93
Eleftheria;93
Elen;93
Eylem;93
Félien;93
Gitty;93
Hadil;93
Holly;93
Indi;93
Jean;93
Kati;93
Lenie;93
Leopoldine;93
Mado;93
Marith;93
Milagros;93
Pasqua;93
Patrícia;93
Razane;93
Rossana;93
Valéria;93
Willow;93
Coumba;92
Dolma;92
Ebe;92
Esme;92
Evangeline;92
Fattouma;92
Hasret;92
Hella;92
Julita;92
Katharine;92
Kheda;92
Liena;92
Lilianna;92
Liliya;92
Meryl;92
Meysa;92
Mirre;92
Mirsada;92
Mónica;92
Nesibe;92
Ofelia;92
Philine;92
Philomene;92
Raphaëlla;92
Selime;92
Stefana;92
Sylvie-Anne;92
Thais;92
Trinette;92
Ahsen;91
Alanis;91
Alexe;91
Asena;91
Aurica;91
Ayada;91
Aysu;91
Benedicta;91
Bernarda;91
Bianka;91
Jelka;91
Jorina;91
Joudia;91
Khedidja;91
Léonor;91
Manuelle;91
Marike;91
Mayssane;91
Maëlya;91
Meva;91
Narcisa;91
Nazan;91
Nene;91
Ouardia;91
Penny;91
Phéline;91
Selver;91
Severina;91
Snezhana;91
Sura;91
Susie;91
Telma;91
Valentyna;91
Aglaé;90
Ala;90
Albine;90
Anne-Gaëlle;90
Annic;90
Blondina;90
Boena;90
Cathleen;90
Chani;90
Fatimatou;90
Franka;90
Hilary;90
Ivelina;90
Lama;90
Lenna;90
Lianne;90
Ligia;90
Lynsey;90
Léanne;90
Marie-Céline;90
Maéline;90
Mendy;90
Morane;90
Mérédith;90
Paris;90
Petya;90
Rosalinde;90
Salome;90
Sedra;90
Seval;90
Siloé;90
Soraia;90
Yenna;90
Anaë;89
Assiatou;89
Ayan;89
Carolin;89
Danica;89
Dieynaba;89
Elizabet;89
Fairouz;89
Fatuma;89
Frie;89
Gülbahar;89
Harriet;89
Jany;89
Liselore;89
Mayte;89
Melodie;89
Miléna;89
Najah;89
Neila;89
Rayan;89
Rébecca;89
Tasha;89
Varvara;89
Anisoara;88
Britany;88
Carry;88
Danique;88
Emerentia;88
Farzana;88
Fina;88
Frieke;88
Ganna;88
Gordana;88
Hadija;88
Hildeke;88
Ise;88
Jil;88
Joumana;88
Kamilla;88
Katherina;88
Khady;88
Lale;88
Liubov;88
Lona;88
Lula;88
Lydwine;88
Maryan;88
Mauranne;88
Michalina;88
Myrna;88
Mária;88
Nathaly;88
Nisha;88
Ouiam;88
Pearl;88
Rein;88
Sakine;88
Sanije;88
Sevde;88
Shahd;88
Siri;88
Sybil;88
Süheyla;88
Tülin;88
Véronica;88
Walaa;88
Anife;87
Annouck;87
Biljana;87
Carlien;87
Crocifissa;87
Estel;87
Florinda;87
Gertie;87
Heaven;87
Janick;87
Jehanne;87
Jools;87
Juul;87
Lamar;87
Latife;87
Luitgarde;87
Mihriban;87
Najiba;87
Nazik;87
Noreen;87
Pelagia;87
Rizlane;87
Ruzanna;87
Sabrin;87
Seren;87
Serine;87
Soizic;87
Suzon;87
Tamila;87
Wenda;87
Xin;87
Yanne;87
Yolaine;87
Yuliia;87
Zoi;87
Adelaide;86
Ajla;86
Asa;86
Badria;86
Cagla;86
Cevahir;86
Consuelo;86
Eleonor;86
Eli;86
Elizabeta;86
Emke;86
Estefania;86
Hannan;86
Immacolata;86
Isalie;86
Klea;86
Lala;86
Lennie;86
Liora;86
Marije;86
Marilène;86
Noora;86
Phuong;86
Sarita;86
Savanah;86
Sharina;86
Shelsy;86
Shqipe;86
Sira;86
Stecy;86
Wai;86
Windy;86
Abygaëlle;85
Aubane;85
Audry;85
Aysima;85
Camillia;85
Chaja;85
Coleen;85
Constantina;85
Dara;85
Drissia;85
Elfie;85
Elfrieda;85
Emmi;85
Fifi;85
Félicité;85
Hadhoum;85
Hristina;85
Hui;85
Iliane;85
Karinne;85
Kimia;85
Lilyane;85
Ma;85
Malwina;85
Maïssane;85
Moon;85
Morganne;85
Mélyne;85
Niculina;85
Noore;85
Raghad;85
Razia;85
Rebeka;85
Robertine;85
Samara;85
Taylor;85
Zhanna;85
Amely;84
Brigida;84
Cendrine;84
Chams;84
Christinne;84
Elody;84
Eulalia;84
Hailie;84
Idiatou;84
Issra;84
Jessyca;84
Kayra;84
Laurena;84
Lieselore;84
Liyah;84
Maira;84
Mano;84
Mariela;84
Mitte;84
Nadezda;84
Noria;84
Noémy;84
Ornela;84
Prescilla;84
Reinildis;84
Renke;84
Rona;84
Shaïna;84
Silya;84
Thérèsa;84
Véra;84
Yordanka;84
Alien;83
Anne-Laurence;83
Anne-Lies;83
Arij;83
Aza;83
Azize;83
Benjamine;83
Besma;83
Bess;83
Daphny;83
Dulce;83
Eduarda;83
Fayza;83
Floarea;83
Frouke;83
Hayate;83
Ibtissame;83
Jia;83
Jinan;83
Kyenta;83
Layal;83
Lorène;83
Lubna;83
Madelief;83
Mediha;83
Meggy;83
Mikaela;83
Natasa;83
Orpha;83
Shenay;83
Stefany;83
Sule;83
Agnesa;82
Anelia;82
Ayleen;82
Chafia;82
Emelda;82
Esmanur;82
Esmé;82
Fientje;82
Fikriye;82
Frederica;82
Gul;82
Gyulten;82
Hadiatou;82
Hina;82
Ilhem;82
Iseult;82
Kimmy;82
M'Barka;82
Mayke;82
Melany;82
Minh;82
Miral;82
Natalja;82
Naz;82
Nevena;82
Nikolina;82
Odila;82
Tugçe;82
Xiao;82
Yanah;82
Almedina;81
Ardita;81
Avril;81
Charisse;81
Diyana;81
Ely;81
Emira;81
Erza;81
Graciela;81
Hasibe;81
Hatun;81
Ieva;81
Lauralie;81
Layna;81
Liridona;81
Lyubov;81
Maissae;81
Maria-Luisa;81
Marlyse;81
Mayla;81
Qamar;81
Racha;81
Rosa-Maria;81
Sevinch;81
Shaymaa;81
Soumya;81
Twiggy;81
Verona;81
Éva;81
Alyzée;80
Aseel;80
Auréline;80
Candida;80
Cassidy;80
Chahd;80
Cláudia;80
Dona;80
Eléonor;80
Estrella;80
Ezra;80
Fatmata;80
Ferdinanda;80
Fotini;80
Giusy;80
Guadalupe;80
Horia;80
Jayda;80
Jenne;80
Kadiata;80
Kalinka;80
Mahsa;80
Marie-Isabelle;80
Mariëlla;80
Michèlle;80
Milka;80
Mone;80
Nursen;80
Olympe;80
Parisa;80
Rogette;80
Roxan;80
Sabria;80
Shabnam;80
Sokhna;80
Taïna;80
Thessa;80
Tinny;80
Tlaitmas;80
Trixie;80
Yoline;80
Zarife;80
Adile;79
Adjo;79
Ami;79
Annaïs;79
Annouk;79
Anouska;79
Athanasia;79
Charity;79
Courtney;79
Donika;79
Ermina;79
Gerlanda;79
Helène;79
Immaculée;79
Jaqueline;79
Jena;79
Jesse;79
Kamélia;79
Karmen;79
Kiran;79
Klaar;79
Leanne;79
Lianna;79
Lili-Rose;79
Lotje;79
Loélia;79
Marica;79
Marie-Reine;79
Myrtille;79
Nadire;79
Nadiya;79
Ness;79
Pavlina;79
Queen;79
Raihana;79
Rokia;79
Sabriye;79
Safi;79
Shirine;79
Siënna;79
Thaïsa;79
Tulay;79
Winde;79
Aitana;78
Alies;78
Alyana;78
Anastacia;78
Antoaneta;78
Aure;78
Enrica;78
Fantine;78
Fatim;78
Gülüzar;78
Heloïse;78
Juta;78
Katelyne;78
Katrine;78
Khouloud;78
Lan;78
Léanna;78
Madelon;78
Rüya;78
Sebastiana;78
Selima;78
Titia;78
Tsering;78
Wing;78
Yesim;78
Abrar;77
Afra;77
Chama;77
Chenoa;77
Cosmina;77
Cyrilla;77
Huberta;77
Jits;77
Joya;77
Kelsy;77
Laurentia;77
Lirije;77
Lut;77
Maryama;77
Maxima;77
Nini;77
Rafika;77
Roselinde;77
Shalini;77
Yumi;77
Amana;76
Aminatou;76
Aniela;76
Anna-Lucia;76
Boutaina;76
Charlotta;76
Csilla;76
Davine;76
Elvina;76
Emeraude;76
Husna;76
Ilonka;76
Imran;76
Inessa;76
Ivanna;76
Jannine;76
Jeannina;76
Josie;76
Kaitlyn;76
Lie;76
Ljiljana;76
Lorelei;76
Marliese;76
Mavis;76
Merieme;76
Mukaddes;76
Nanette;76
Nicolette;76
Orianne;76
Oum;76
Rute;76
Seyda;76
Tabatha;76
Thalita;76
Yalenka;76
Éloïse;76
Addolorata;75
Afnan;75
Aina;75
Ariadne;75
Ariel;75
Belkis;75
Bukurije;75
Chrifa;75
Colombe;75
Dolly;75
Dorothee;75
Enid;75
Fettouma;75
Fitore;75
Frederike;75
Gentiana;75
Guiseppa;75
Handan;75
Hermione;75
Jorunn;75
Lelia;75
Lilie;75
Maida;75
Minna;75
Mioara;75
Nermina;75
Nikol;75
Nilda;75
Odrada;75
Olfa;75
Ouassila;75
Queenie;75
Rahel;75
Rimas;75
Samiya;75
Sanaâ;75
Shabana;75
Titiana;75
Tyra;75
Aaike;74
Ade;74
Agnetha;74
Aliza;74
Anahita;74
Angeles;74
Betul;74
Beverley;74
Cathia;74
Chantalle;74
Cristiane;74
Enise;74
Enna;74
Erzsébet;74
Eylül;74
Ganimete;74
Grayna;74
Gülsah;74
Herlindis;74
Jess;74
Kassy;74
Keltouma;74
Khadouj;74
Kyriaki;74
Loulou;74
Mallorie;74
Marij;74
Maritta;74
Merlin;74
Mika;74
Moana;74
Nadege;74
Nouhayla;74
Olympia;74
Rabiye;74
Remzije;74
Saranda;74
Sofija;74
Sylvaine;74
Yelda;74
Yuk;74
Yüksel;74
Zuhal;74
Allegra;73
Appoline;73
Bogumila;73
Denisia;73
Dorianne;73
Dursun;73
Ebrar;73
Elga;73
Ellyn;73
Emelia;73
Emérence;73
Era;73
Fannie;73
Fatmire;73
Gaétane;73
Gurbet;73
Iara;73
Ilaf;73
Irmak;73
Jacintha;73
Jiska;73
Joey;73
Loua;73
Maely;73
Manola;73
Marzanna;73
Myriane;73
Naile;73
Nan;73
Nikky;73
Noelle;73
Purdey;73
Radhia;73
Raphaelle;73
Telli;73
Trix;73
Tya;73
Valery;73
Valeska;73
Vanya;73
Wies;73
Zanna;73
Zayna;73
Ülkü;73
Bette;72
Beyhan;72
Cemre;72
Cherine;72
Cintia;72
Clarence;72
Conchita;72
Despoina;72
Dewi;72
Elvin;72
Elysia;72
Fani;72
Intisar;72
Jamilla;72
Jolein;72
Keziah;72
Khloé;72
Lian;72
Loréna;72
Mahé;72
Malaurie;72
Malvine;72
Mareva;72
Maria-Cristina;72
Marie-Annick;72
Marie-Aude;72
Marie-Joëlle;72
Marieme;72
Marley;72
Mayli;72
Melia;72
Nacira;72
Najlaa;72
Nasima;72
Rafaella;72
Saira;72
Sevinç;72
Seyhan;72
Stanislava;72
Stefani;72
Tatevik;72
Yasmeen;72
Adja;71
Agneta;71
Alaïs;71
Amelya;71
An-Katrien;71
Aïssa;71
Berrin;71
Bijou;71
Cami;71
Crina;71
Cylia;71
Céliane;71
Desiree;71
Emerance;71
Francette;71
Geertruide;71
Hanen;71
Hlima;71
Jani;71
Jaylinn;71
Joëlla;71
Kenaya;71
Lacramioara;71
Luise;71
Maeve;71
Marah;71
Maricica;71
Marie-Elisabeth;71
Marya;71
Maryame;71
Maysae;71
Mie;71
Mietje;71
Nanda;71
Nyla;71
Olimpia;71
Piera;71
Rihana;71
Ritta;71
Rojin;71
Sajida;71
Salimata;71
Shary;71
Soha;71
Thérésa;71
Tifanny;71
Xandra;71
Yuki;71
Zeynab;71
Zlata;71
Aldona;70
Anaïse;70
Aysedudu;70
Begüm;70
Buket;70
Casandra;70
Danya;70
Dijana;70
Elfride;70
Elikya;70
Emanuella;70
Geanina;70
Heavenly;70
Hera;70
Jagoda;70
Jeanique;70
Jin;70
Katelyn;70
Kelya;70
Kimya;70
Kristelle;70
Lucrece;70
Lyudmyla;70
Majella;70
Marie-Ann;70
Meena;70
Meggie;70
Müzeyyen;70
Nima;70
Souhila;70
Suela;70
Sukran;70
Suzane;70
Syeda;70
Turkan;70
Yinte;70
Zenna;70
Abigael;69
Angiolina;69
Anush;69
Arhimou;69
Ayna;69
Behiye;69
Beren;69
Bilyana;69
Carlijn;69
Carlota;69
Cilia;69
Colyne;69
Cyrine;69
Danijela;69
Diya;69
Ecem;69
Florencia;69
Giannina;69
Gilke;69
Hayden;69
Herminia;69
Inayah;69
Isidora;69
Jaimy;69
Katina;69
Kholoud;69
Kélya;69
Letty;69
Lidiya;69
Linse;69
Liudmyla;69
Lyndsey;69
Mana;69
Marielou;69
Marth;69
Masal;69
Maélys;69
Maïna;69
Messaline;69
Meyrem;69
Nurdan;69
Nurhan;69
Nélya;69
Pieternella;69
Pranvera;69
Raïsa;69
Rosella;69
Sigi;69
Szilvia;69
Tinka;69
Vivien;69
Yun;69
Adaline;68
Adélia;68
Almas;68
Alona;68
Arjeta;68
Artemis;68
Cinderella;68
Daiana;68
Edit;68
Emmily;68
Esraa;68
Ginny;68
Gizella;68
Hassatou;68
Hedwigis;68
Ibtihal;68
Ilaya;68
Ireen;68
Izia;68
Jette;68
Kailey;68
Kanza;68
Kataleya;68
Lexa;68
Marie-Emilie;68
Mariel;68
Mayssam;68
Miriame;68
Noufissa;68
Palmira;68
Rabiya;68
Sfia;68
Shahad;68
Teresita;68
Tosca;68
Touraya;68
Zilan;68
Albulena;67
Allisson;67
Alyah;67
Amena;67
Asuman;67
Baraa;67
Belma;67
Divya;67
Edanur;67
Erlinda;67
Fattouch;67
Fawzia;67
Griselda;67
Hadassa;67
Hajrije;67
Halyna;67
Haneen;67
Hassania;67
Hyacintha;67
Iga;67
Jennie;67
Lisbet;67
Mariline;67
Marja;67
Marwah;67
Maélie;67
Maëllys;67
Maïka;67
Maïra;67
Meline;67
Mélya;67
Ondine;67
Rayna;67
Sadiye;67
Shadia;67
Sherazade;67
Sina;67
Tamana;67
Tori;67
Tove;67
Térésa;67
Zelda;67
Zoélie;67
Adila;66
Aliana;66
Bethy;66
Celena;66
Daniëla;66
Djenna;66
Elida;66
Eryn;66
Freja;66
Gail;66
Giusi;66
Iasmina;66
Ildiko;66
Illona;66
Ivone;66
Karelle;66
Leliane;66
Liezl;66
Lillian;66
Linette;66
Linoa;66
Lucica;66
Luzia;66
Marguerita;66
Maylie;66
Maëlly;66
Nazanin;66
Nicki;66
Olesea;66
Roukaya;66
Selinay;66
Semanur;66
Sevdalina;66
Shona;66
Simge;66
Th;66
To;66
Valesca;66
Ysée;66
Zenab;66
Zolikha;66
Anh;65
Aset;65
Choumicha;65
Ctlina;65
Danila;65
Dédé;65
Eleanore;65
Fallone;65
Faustina;65
Fieke;65
Glory;65
Graciella;65
Iene;65
Ilani;65
Irèna;65
Jantien;65
Jeanninne;65
Joannie;65
Josée-Anne;65
Ka;65
Kardelen;65
Krasimira;65
Laxmi;65
Lily-Anne;65
Lilyana;65
Mahira;65
Marijn;65
Maysam;65
Myriem;65
Nourhan;65
Nourhane;65
Pooja;65
Princesse;65
Raimonda;65
Rosan;65
Rossella;65
Roxy;65
Rubina;65
Salamata;65
Seema;65
Shayma;65
Tasneem;65
Tricia;65
Volha;65
Yarah;65
Acelya;64
Adisa;64
Agnés;64
Alea;64
Alime;64
Amelle;64
Anitta;64
Anne-Julie;64
Anne-Leen;64
Becky;64
Belen;64
Bes;64
Besa;64
Carly;64
Charon;64
Chava;64
Darine;64
Delilah;64
Dorette;64
Eloane;64
Elyane;64
Eléonora;64
Fariba;64
Freia;64
Ghilaine;64
Gianina;64
Hassina;64
Hendrina;64
Inse;64
Jemaa;64
Jie;64
Katho;64
Kayley;64
Kiymet;64
Kloé;64
Kélia;64
Lauredana;64
Leda;64
Ling;64
Livy;64
Madelaine;64
Manoé;64
Maure;64
Meg;64
Nane;64
Narges;64
Nigar;64
Ninthe;64
Oya;64
Raïs;64
Sanda;64
Sanny;64
Seniha;64
Shakila;64
Shany;64
Shelsea;64
Shirly;64
Stina;64
Suad;64
Süreyya;64
Vanity;64
Veronik;64
Willemijn;64
Winifred;64
Ümmü;64
Ambra;63
Ante;63
Barbora;63
Bassma;63
Bilge;63
Bárbara;63
Digna;63
Dinara;63
Egzona;63
Eliene;63
Elodia;63
Estee;63
Eyma;63
Fati;63
Fedra;63
Fetije;63
Filippina;63
Gislaine;63
Guilaine;63
Gwladys;63
Hanadi;63
Hanin;63
Jilke;63
Joleen;63
Kaily;63
Kateline;63
Lady;63
Lita;63
Mel;63
Nabiha;63
Nita;63
Nura;63
Rabiâ;63
Radmila;63
Rizlaine;63
Serina;63
Sevdije;63
Sherin;63
Sheryl;63
Tasniem;63
Una;63
Zaya;63
Éléa;63
Ablavi;62
Alysha;62
Anesa;62
Angélica;62
Anthéa;62
Antonie;62
Audeline;62
Aysen;62
Babet;62
Banu;62
Bertine;62
Eliora;62
Elisabetha;62
Erminia;62
Esthée;62
Fayrouz;62
Galia;62
Gaïa;62
Gusta;62
Güldane;62
Ide;62
Ilja;62
Jetty;62
Kadrie;62
Leny;62
Lisy;62
Lonneke;62
Lopke;62
Lütfiye;62
Man;62
Mena;62
Michaella;62
Müge;62
Nariman;62
Nayeli;62
Robina;62
Savanna;62
Selene;62
Seyedeh;62
Snezana;62
Styliani;62
Aliki;61
Alys;61
Aminah;61
Ayça;61
Bedriye;61
Berit;61
Brigita;61
Bärbel;61
Cinthy;61
Coletta;61
Delya;61
Divina;61
Donya;61
Ella-Noor;61
Favour;61
Firdaouss;61
Gaetane;61
Gessica;61
Giacomina;61
Giulietta;61
Hillary;61
Inger;61
Izel;61
Jacky;61
Kadidja;61
Kateleen;61
Khaddouja;61
Lamiaa;61
Liboria;61
Lisianne;61
Loan;61
Lujain;61
Lyra;61
Léticia;61
Marie-Blanche;61
Marva;61
Mirabelle;61
Mursal;61
Mélisande;61
Nadinne;61
Nastassia;61
Noussayba;61
Pam;61
Rut;61
Sabrije;61
Shirel;61
Shkurte;61
Siene;61
Taïs;61
Trinity;61
Vesile;61
Yurdagül;61
Zakiya;61
Zouhra;61
Ajshe;60
Alvina;60
Alvine;60
Amale;60
Begum;60
Dita;60
Erinn;60
Esen;60
Hayrunnisa;60
Janie;60
Khadidiatou;60
Mamat;60
Marie-Josèphe;60
Mbarka;60
Mirlinda;60
Morine;60
Muguette;60
Mylena;60
Nasra;60
Nicoline;60
Pip;60
Pélagie;60
Quirina;60
R'Himou;60
Reyyan;60
Roosmarijn;60
Rozan;60
Selenay;60
Shannah;60
Sielke;60
Sonam;60
Stephie;60
Su;60
Trisha;60
Tsvetelina;60
Viktorija;60
Xuan;60
Zaïneb;60
Zlatka;60
Adea;59
Agatina;59
Andrada;59
Ashanti;59
Birgitt;59
Cameron;59
Charifa;59
Constanta;59
Célien;59
Derin;59
Dorotea;59
Elisaveta;59
Estela;59
Eurydice;59
Evgeniya;59
Fikria;59
Fortunata;59
Henriëtte;59
Hylke;59
Hélena;59
Ignazia;59
Imène;59
Issrae;59
Joske;59
Kady;59
Katsiaryna;59
Lioudmila;59
Lumnije;59
Malina;59
Maral;59
Margret;59
Marie-Lynn;59
Marilia;59
Mariëtte;59
Martje;59
Naime;59
Nalan;59
Nayah;59
Nelleke;59
Nessrine;59
Nissa;59
Ouafila;59
Oumayra;59
Périne;59
Radka;59
Ritaje;59
Roma;59
Sadie;59
Sevgyul;59
Slavica;59
Solveig;59
Stefka;59
Tassnim;59
Toni;59
Trinidad;59
Wahida;59
Wendi;59
Yang;59
Ahlalia;58
Amandina;58
Andriana;58
Aniek;58
Anu;58
Any;58
Ayko;58
Cassia;58
Chahira;58
Cyntia;58
Delina;58
Duaa;58
Haby;58
Hadeel;58
Hassiba;58
Hela;58
Helma;58
Herta;58
Hortence;58
Iléana;58
Joaquina;58
Jumana;58
Katheleen;58
Lahouaria;58
Licia;58
Loesje;58
Lorina;58
Marie-Noël;58
Mariyam;58
Maïlis;58
Mirian;58
Nikie;58
Raven;58
Selvije;58
Sevdzhan;58
Shahnaz;58
Shanah;58
Sharifa;58
Songul;58
Sélina;58
Valeriya;58
Wencke;58
Ximena;58
Yin;58
Zorica;58
Annelyse;57
Anoushka;57
Arlene;57
Astride;57
Chafika;57
Charlise;57
Czeslawa;57
Esperance;57
Godefrida;57
Heidemarie;57
Iebe;57
Iliyana;57
Isla;57
Italia;57
Jawhara;57
Jolina;57
Julija;57
Lupe;57
Magdaléna;57
Mamma;57
Manolya;57
Maria-Pia;57
Marileen;57
Mariza;57
Masa;57
Melyna;57
Moyra;57
Mélissandre;57
Nazire;57
Nefeli;57
Olinda;57
Ping;57
Préscillia;57
Rifka;57
Ruxandra;57
San;57
Saona;57
Saziye;57
Senel;57
Sezen;57
Shahla;57
Sundus;57
Tammy;57
Tanaïs;57
Tanzila;57
Tillie;57
Valerica;57
Vie;57
Yacine;57
Yüsra;57
Adolphina;56
Aleida;56
Alessa;56
Angy;56
Anna-Lisa;56
Anne-Fleur;56
Ariella;56
Armandine;56
Bertille;56
Brit;56
Brooklyn;56
Bénedicte;56
Dali;56
Dalida;56
Denitsa;56
Durdane;56
Elisah;56
Elwira;56
Faigy;56
Fe;56
Feriel;56
Fulya;56
Gifty;56
Guylaine;56
Henryka;56
Jinne;56
Keila;56
Krystal;56
Leonce;56
Lizie;56
Lulu;56
Manoa;56
Markha;56
Maël;56
Meta;56
Nazmije;56
Norine;56
Nouhaïla;56
Noya;56
Noélyne;56
Rachael;56
Remedios;56
Saime;56
Saleha;56
Sanah;56
Seham;56
Selam;56
Sifa;56
Sohaila;56
Solmaz;56
Soumiya;56
Tefania;56
Tünde;56
Vira;56
Wijdane;56
Ylena;56
Yvana;56
Yvona;56
Zahida;56
Akossiwa;55
Akua;55
Alecia;55
Alessya;55
Aloïse;55
Anie;55
Anne-Sofie;55
Antigona;55
Antonine;55
Apoline;55
Arabelle;55
Ayegül;55
Brooke;55
Candide;55
Carolle;55
Cassiopée;55
Catty;55
Costanza;55
Cédrine;55
Dani;55
Dawn;55
Elitsa;55
Emma-Louise;55
Emsal;55
Evelynn;55
Fariza;55
Gökçe;55
Gülçin;55
Ilina;55
Ioulia;55
Jovana;55
Kali;55
Kathlyn;55
Kiliana;55
Kytana;55
Leatitia;55
Loran;55
Loula;55
Lucine;55
Lux;55
Lydiane;55
Léliane;55
Margareth;55
Maria-Anna;55
Maria-Isabel;55
Maybelle;55
Mechtildis;55
Miss;55
Mitra;55
Miyase;55
Naelle;55
Nazar;55
Nurhayat;55
Paige;55
Penka;55
Qian;55
Rahmouna;55
Réka;55
Serra;55
Severien;55
Shaïma;55
Shiva;55
Sibille;55
Sjoukje;55
Sueda;55
Xiomara;55
Yluna;55
Yoana;55
Yue;55
Yéléna;55
Zobida;55
Akouvi;54
Alise;54
Alketa;54
Amaia;54
Anda;54
Anica;54
Brechje;54
Britte;54
Chrysoula;54
Colline;54
Dien;54
Elianthe;54
Emelien;54
Emmanuëlle;54
Ermira;54
Fehime;54
Guillaumine;54
Hicran;54
Isabo;54
Ismahane;54
Jadranka;54
Jeannetta;54
Jetske;54
Jitka;54
Kadidiatou;54
Khalissa;54
Lamyaa;54
Lauke;54
Lela;54
Leonza;54
Lidija;54
Lillie;54
Lilo;54
Loreleï;54
Lua;54
Lyndsay;54
Malica;54
Manelle;54
Marguerithe;54
Maria-Laura;54
Marlou;54
Maryssa;54
Meghann;54
Minthe;54
Nabia;54
Nadra;54
Nady;54
Rilana;54
Romaissae;54
Ruta;54
Sabahat;54
Sevdie;54
Seynabou;54
Stamatia;54
Sévérine;54
Tessie;54
Thalissa;54
Thaïssa;54
Tini;54
Tugce;54
Tyurkyan;54
Vesper;54
Walburga;54
Yasna;54
Yolien;54
Zoï;54
Zuhra;54
Zöhre;54
Ümran;54
Aimee;53
Alyna;53
Angéla;53
Araceli;53
Cesarina;53
Chaymaa;53
Christabel;53
Dajana;53
Darinka;53
Doua;53
Elita;53
Fanchon;53
Firdaus;53
Florije;53
Fozia;53
Gabi;53
Ghania;53
Gwénaëlle;53
Houriya;53
Inka;53
Jazz;53
Josse;53
Kevine;53
Kremena;53
Liesse;53
Mane;53
Manisha;53
Maria-Elena;53
Mariko;53
Mascha;53
Mireia;53
Müberra;53
Nadin;53
Nare;53
Nayara;53
Nejma;53
Olesia;53
Rojda;53
Romayssae;53
Rositta;53
Rüveyda;53
Sadet;53
Sakura;53
Salha;53
Sanie;53
Sanya;53
Siobhan;53
Sofi;53
Souria;53
Sun;53
Sévrine;53
Talita;53
Tamou;53
Thérèse-Marie;53
Vitoria;53
Yaelle;53
Ümmügülsüm;53
Adelien;52
Angèla;52
Armina;52
Asil;52
Asmaâ;52
Basmala;52
Besarta;52
Bircan;52
Bora;52
Brendy;52
Carmina;52
Clare;52
Clothilda;52
Dayna;52
Demy;52
Deolinda;52
Diaraye;52
Diethe;52
Elsbeth;52
Fang;52
Fauzia;52
Fransine;52
Frea;52
Fulvia;52
Imaani;52
Jyoti;52
Kiraz;52
Leidy;52
Lidya;52
Manana;52
Manja;52
Maricel;52
Marie-Martine;52
Marijana;52
Masoumeh;52
Mathea;52
Néné;52
Omnia;52
Orsolya;52
Ouidad;52
Reinelde;52
Sadije;52
Salomée;52
Satine;52
Selcan;52
Shukri;52
Sofiia;52
Suraya;52
Sviatlana;52
Tanisha;52
Ting;52
Ursule;52
Yanou;52
Ynske;52
Yuko;52
Zelal;52
Afifa;51
Alaya;51
Alin;51
Anastazja;51
Arcangela;51
Ardiana;51
Ariadna;51
Aygül;51
Ayshat;51
Azime;51
Bleona;51
Bonny;51
Boryana;51
Carima;51
Carrie;51
Chaïmaa;51
Clarys;51
Dahbia;51
Do;51
Emese;51
Enas;51
Enea;51
Evangelina;51
Fée;51
Gersende;51
Gilette;51
Guusje;51
Gülden;51
Hanne-Lore;51
Hatidzhe;51
Hüsniye;51
Iréna;51
Joud;51
Kamille;51
Kythana;51
Laetizia;51
Linh;51
Lorane;51
Loreana;51
Mammat;51
Manpreet;51
Marie-Flore;51
Marie-Noelle;51
Meïssa;51
Monja;51
Nagham;51
Naia;51
Natalija;51
Nihel;51
Nikoleta;51
Ninette;51
Pascalle;51
Pim;51
Rafia;51
Ramize;51
Raniya;51
Rawaa;51
Rawane;51
Rinad;51
Rinske;51
Safira;51
Seçil;51
Simran;51
Souade;51
Tiphany;51
Uliana;51
Valdete;51
Valèrie;51
Venus;51
Veva;51
Yalda;51
Yanthe;51
Yenka;51
Özgül;51
Angelita;50
Anne-Lyse;50
Annemiek;50
Annouschka;50
Anthea;50
Apollonia;50
Aryana;50
Asta;50
Bela;50
Brandy;50
Brithany;50
Cristine;50
Dena;50
Domitille;50
Doutzen;50
Drieke;50
Dyna;50
Elicia;50
Emili;50
Essia;50
Euphrasie;50
Fedoua;50
Froukje;50
Hawraa;50
Helle;50
Hendrica;50
Hester;50
Imaan;50
Inoa;50
Io;50
Ionica;50
Isobel;50
Jacquelinne;50
Janette;50
Jesica;50
Jillian;50
Jude;50
Kaitlin;50
Kamile;50
Katheline;50
Kayliah;50
Kelia;50
Lauri;50
Laurinda;50
Leïa;50
Loni;50
Loona;50
Lyloo;50
Mahnaz;50
Maria-José;50
Marlyn;50
Maylee;50
Maélia;50
Maïssae;50
Myranda;50
Nafissatou;50
Nahima;50
Nimo;50
Noëlie;50
Nurije;50
Nyota;50
Pipa;50
Puck;50
Rabije;50
Ramina;50
Ramiza;50
Rawda;50
Rehana;50
Rosangela;50
Serafien;50
Simonetta;50
Slavka;50
Stans;50
Tanita;50
Tieneke;50
Valérie-Anne;50
Yanick;50
Yee;50
Zoja;50
Zuleyha;50
Ümmühan;50
Abena;49
Afërdita;49
Akosua;49
Alis;49
Aloysia;49
Alysée;49
Annuska;49
Aydan;49
Bedia;49
Chahinaz;49
Channa;49
Chiraz;49
Christele;49
Constancia;49
Dragica;49
Dylana;49
Ebba;49
Eflin;49
Eloisa;49
Epiphanie;49
Ersilia;49
Esengül;49
Esil;49
Fahriye;49
Fatmanur;49
Felicity;49
Geta;49
Houyam;49
